email,nps,survey_year,primary_category,gender,age,total_sessions,follower_count,w2_active,m2_active,genres_books,genres_screenpla,genres_podcasts,first_app_open_d,user_type
0001,5,21,TV/Movies,Female,65+,127,1,TRUE,TRUE,"[""Romance"",""Whodunit""]","[""Comedy"",""Romantic Comedy"",""Romance"",""Drama"",""Fantasy"",""Whodunit""]","[""Science & Technology"",""TV & Movies""]",undefined,app_user
0002,5,21,Books,Male,45-54,3841,0,TRUE,TRUE,"[""Fantasy"",""Dark Fantasy"",""Tearjerkers"",""Comedy"",""Humor"",""Magic"",""Romance"",""Science Fiction"",""Horror"",""Dystopian Fiction""]","[""Action & Adventure"",""Drama""]",undefined,undefined,app_user
0003,5,21,Books,Female,45-54,801,11,TRUE,TRUE,"[""Young Adult"",""Thriller"",""Shocking Twists"",""Spy Thrillers"",""Psychological Thrillers"",""Historical Fiction"",""Classics"",""Tearjerkers"",""True Crime"",""Memoirs"",""British Classics"",""Coming of Age"",""Comedy""]","[""Comedy"",""Romantic Comedy"",""Dark Comedy"",""Spoofs and Mockumentaries"",""Drama"",""British Dramas"",""Period Dramas"",""Romance"",""Tearjerkers"",""Crime"",""True Crime"",""Heists"",""Superheroes"",""Comic Book Adaptations"",""Marvel"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Spy Thrillers"",""Action & Adventure"",""Action"",""Adventure"",""Reality"",""Competition"",""Documentary"",""Docuseries"",""Whodunit"",""Biopic""]","[""Comedy"",""Comedian"",""Crime"",""True Crime"",""Pop Culture"",""TV & Movies"",""Celebrities"",""Society & Culture"",""Unsolved Crime""]",2021-05-11T17:16:22,app_user
0004,6,21,Books,Female,25-34,195,0,TRUE,TRUE,"[""Fantasy"",""Romance"",""Historical Fiction"",""High Fantasy"",""Epic Fantasy"",""Magic"",""Dark Fantasy"",""Urban Fantasy""]",undefined,undefined,2021-07-11T00:50:15,app_user
0005,6,21,Books,Female,35-44,92,0,TRUE,TRUE,"[""Fantasy"",""Magic"",""Epic Fantasy"",""High Fantasy"",""Romance"",""Historical Fiction"",""Dystopian Fiction""]","[""Romance"",""Romantic Comedy"",""Drama"",""Family Friendly"",""Disney"",""Period Dramas"",""Family Dramas"",""Teen Romance"",""Fantasy"",""Magic"",""Epic Fantasy"",""Mind Bending""]",undefined,2021-07-07T05:55:37,app_user
0006,6,21,TV/Movies,Female,25-34,690,11,TRUE,FALSE,"[""Comedy"",""True Crime"",""Thriller""]",undefined,"[""Crime"",""Comedy"",""Unsolved Crime"",""True Crime"",""TV & Movies""]",2020-07-27T20:52:22,app_user
0007,6,21,Books,Female,25-34,114,1,TRUE,TRUE,"[""Fantasy"",""Horror"",""Classics"",""LGBTQ+"",""Whodunit"",""Paranormal"",""Slasher"",""British Classics"",""Science Fiction"",""Comedy"",""Humor"",""Magic"",""Time Travel"",""Historical Fiction"",""Dystopian Fiction"",""Outer Space"",""Thriller"",""Psychological Thrillers"",""Mystery"",""Shocking Twists"",""High Fantasy"",""Dark Fantasy"",""Epic Fantasy"",""Urban Fantasy""]","[""Comedy"",""Spoofs and Mockumentaries"",""Dark Comedy"",""Adult Cartoon"",""British Comedy"",""Period Dramas"",""British Dramas"",""Crime"",""Superheroes"",""Comic Book Adaptations"",""Marvel"",""Fantasy"",""Magic"",""Mind Bending"",""Dark Crime"",""Vigilante"",""Thriller"",""Psychological Thrillers"",""Suspense"",""Mystery"",""Horror"",""Supernatural"",""Slasher"",""Family Friendly"",""Disney"",""Sitcoms"",""Science Fiction"",""Outer Space"",""Time Travel"",""Robots"",""Anime"",""Action & Adventure"",""Action"",""Adventure"",""Documentary"",""Docuseries"",""LGBTQ+"",""Whodunit""]","[""Pop Culture"",""Society & Culture"",""Fiction"",""Comedy"",""Comedian"",""TV & Movies"",""Crime"",""True Crime"",""Music"",""History""]",undefined,app_user
0008,6,21,Books,Male,45-54,121,0,TRUE,TRUE,"[""Science Fiction"",""Dystopian Fiction"",""Historical Fiction"",""Outer Space"",""Fantasy"",""High Fantasy"",""Epic Fantasy"",""True Crime""]",undefined,"[""Crime"",""True Crime"",""Unsolved Crime"",""History"",""Fiction"",""Science & Technology"",""Technology"",""TV & Movies""]",undefined,app_user
0009,7,21,Books,Female,18-24,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
0010,7,21,Podcasts,Female,18-24,66,0,TRUE,TRUE,"[""Fantasy"",""Magic"",""Epic Fantasy"",""Comedy"",""Humor"",""Thriller"",""Mystery"",""Spy Thrillers"",""Science Fiction"",""Time Travel"",""Outer Space"",""Classics"",""British Classics"",""Poetry"",""Whodunit"",""Children's Books""]","[""Comedy"",""Romantic Comedy"",""British Comedy"",""Workplace Comedy"",""Superheroes"",""Marvel"",""Family Friendly"",""Disney"",""Science Fiction"",""Anime"",""Action & Adventure"",""Action"",""Adventure"",""Whodunit"",""Music"",""Survival"",""Sports"",""Baseball"",""Fantasy""]","[""Comedy"",""Fiction"",""History"",""Science & Technology"",""Science"",""Technology"",""News"",""Politics"",""Business""]",undefined,app_user
0011,7,21,Books,Female,18-24,null,null,null,null,null,null,null,null,newsletter
0012,7,21,TV/Movies,Female,55-64,88,0,FALSE,FALSE,undefined,undefined,undefined,2019-08-25T16:00:45,app_user
0013,7,21,TV/Movies,Female,18-24,133,1,FALSE,FALSE,"[""Self Help"",""Young Adult"",""Memoirs"",""Teen Romance"",""Comedy""]",undefined,undefined,2019-07-03T19:33:27,app_user
0014,8,21,Books,Female,18-24,525,0,TRUE,TRUE,"[""Romance"",""Young Adult"",""Coming of Age"",""Thriller"",""LGBTQ+"",""Fantasy""]","[""Drama"",""Family Dramas"",""Teen"",""High School"",""Comedy"",""Workplace Comedy""]",undefined,2021-07-06T06:51:36,app_user
0015,8,21,Books,Male,45-54,394,2,TRUE,TRUE,"[""Thriller"",""Mystery"",""Psychological Thrillers"",""Science Fiction"",""Dystopian Fiction"",""Time Travel"",""Horror"",""Paranormal"",""Whodunit"",""True Crime"",""Shocking Twists"",""Spy Thrillers""]","[""Thriller"",""Suspense"",""Shocking Twists"",""Horror"",""Mystery"",""Psychological Thrillers"",""Superheroes"",""Marvel"",""Science Fiction"",""Zombie"",""Dystopian"",""Time Travel"",""Outer Space"",""Alien"",""Action & Adventure"",""Action"",""Spy Thrillers"",""Western"",""Adventure""]",undefined,undefined,app_user
0016,8,21,TV/Movies,Male,25-34,7188,11,TRUE,TRUE,"[""Fantasy"",""Magic"",""High Fantasy"",""Dark Fantasy"",""Epic Fantasy"",""Comedy"",""Urban Fantasy"",""Humor"",""Comedian"",""Thriller"",""Shocking Twists"",""Mystery"",""Science Fiction"",""Dystopian Fiction"",""Time Travel"",""Outer Space"",""Historical Fiction"",""Classics"",""World War 2"",""Horror"",""Slasher"",""Paranormal"",""True Crime"",""Self Help"",""Cooking"",""Cookbooks"",""Psychology""]","[""Comedy"",""Workplace Comedy"",""Stoner Comedy"",""British Comedy"",""Dark Comedy"",""Spoofs and Mockumentaries"",""Adult Cartoon"",""Thriller"",""Suspense"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Horror"",""Supernatural"",""Slasher"",""Science Fiction"",""Outer Space"",""Time Travel"",""Robots"",""Zombie"",""Dystopian"",""Alien"",""Anime"",""Action & Adventure"",""Action"",""Adventure"",""War"",""Fantasy"",""Epic Fantasy"",""Magic"",""Mind Bending"",""Superheroes"",""Comic Book Adaptations"",""Marvel"",""Drama"",""Courtroom Dramas"",""Western""]",undefined,undefined,app_user
0017,8,21,Books,Other,18-24,428,8,TRUE,TRUE,"[""Fantasy"",""Science Fiction"",""High Fantasy"",""Epic Fantasy"",""Young Adult"",""Romance"",""Comedy"",""Historical Fiction"",""Classics"",""LGBTQ+"",""Poetry"",""Whodunit"",""Urban Fantasy"",""Magic"",""British Classics"",""Humor""]","[""Comedy"",""British Comedy"",""Fantasy"",""Family Friendly"",""Anime"",""Disney"",""Magic"",""Epic Fantasy"",""LGBTQ+"",""Action & Adventure"",""Whodunit"",""Adventure"",""Science Fiction""]","[""Crime"",""Comedy"",""Pop Culture"",""Fiction"",""History""]",undefined,app_user
0018,8,21,Books,Male,55-64,837,0,TRUE,FALSE,"[""Whodunit"",""True Crime""]",undefined,undefined,2020-10-30T12:42:34,app_user
0019,8,21,TV/Movies,Male,25-34,137,2,TRUE,FALSE,"[""Fantasy"",""Self Help"",""Motivation"",""Business""]","[""Fantasy"",""Horror"",""Supernatural"",""Superheroes"",""Epic Fantasy"",""Marvel"",""Romance"",""Comedy"",""Workplace Comedy"",""Biopic""]",undefined,undefined,app_user
0020,9,21,Books,Female,25-34,3958,57,TRUE,FALSE,"[""Fantasy"",""Historical Fiction"",""Science Fiction"",""Cookbooks""]",undefined,undefined,2020-10-16T07:22:23,app_user
0021,9,21,TV/Movies,Female,25-34,999,18,TRUE,TRUE,"[""Romance"",""Thriller"",""Spy Thrillers"",""Mystery"",""Classics"",""Horror"",""Paranormal"",""Whodunit"",""True Crime"",""Historical Fiction""]","[""Action & Adventure"",""Documentary"",""Western"",""Whodunit"",""Thriller"",""Suspense"",""Mystery"",""Spy Thrillers"",""Political"",""Biopic"",""Crime"",""Heists"",""Drama"",""Courtroom Dramas"",""Supernatural""]",undefined,undefined,app_user
0022,9,21,TV/Movies,Female,25-34,null,null,null,null,null,null,null,null,newsletter
0023,9,21,Books,Female,35-44,154,1,TRUE,TRUE,"[""Fantasy"",""Romance"",""Young Adult"",""True Crime"",""Poetry"",""Magic"",""High Fantasy"",""Urban Fantasy"",""Dark Fantasy"",""Epic Fantasy"",""Romantic Comedies"",""Coming of Age"",""Thriller"",""Psychological Thrillers"",""Shocking Twists"",""Mystery"",""Cooking"",""Cookbooks"",""Holiday Cookbooks""]","[""Comedy"",""Romance"",""Crime"",""Drama"",""Fantasy"",""Family Friendly"",""Music"",""Action & Adventure""]",undefined,2021-04-06T13:01:22,app_user
0024,10,21,Books,Female,55-64,103,0,TRUE,TRUE,"[""Romance"",""Thriller""]","[""Romance"",""Comedy"",""Drama"",""Documentary""]",undefined,2021-04-22T19:31:58,app_user
0025,10,21,Books,Female,25-34,514,0,FALSE,TRUE,"[""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Science Fiction"",""Dystopian Fiction"",""Horror"",""Slasher"",""Paranormal"",""True Crime"",""Self Help"",""Mental Health"",""Motivation"",""Psychology"",""Fantasy"",""Dark Fantasy"",""Young Adult"",""Cooking"",""Cookbooks"",""Tearjerkers"",""Business"",""Leadership""]","[""Anime"",""Science Fiction"",""Dystopian"",""Thriller"",""Suspense"",""Shocking Twists"",""Psychological Thrillers"",""Horror"",""Supernatural"",""Slasher"",""Alien"",""Zombie"",""Robots"",""Action & Adventure"",""Action"",""Adventure"",""Survival"",""Post Apocalyptic"",""Documentary"",""Time Travel"",""Food"",""Competition"",""Reality"",""Outer Space"",""Spy Thrillers"",""Mystery"",""Marvel"",""Comic Book Adaptations"",""Superheroes"",""Tearjerkers"",""Drama""]",undefined,undefined,app_user
0026,10,21,Books,Male,35-44,129,0,TRUE,TRUE,"[""Science Fiction"",""Dystopian Fiction"",""Time Travel"",""Outer Space"",""Historical Fiction""]","[""Science Fiction"",""Outer Space"",""Time Travel"",""Robots"",""Zombie"",""Dystopian"",""Alien"",""Black Cinema"",""Music"",""Documentary"",""Docuseries"",""Western"",""Outlaw Western"",""Political"",""Biopic""]","[""Music"",""History"",""Fiction"",""News"",""Politics"",""Science & Technology"",""Science"",""Technology""]",undefined,app_user
0027,10,21,TV/Movies,Female,45-54,886,5,TRUE,TRUE,"[""Historical Fiction"",""World War 2"",""Romance"",""Tearjerkers"",""Thriller"",""Psychological Thrillers"",""Shocking Twists"",""Whodunit""]","[""Comedy"",""Drama"",""British Dramas"",""Tearjerkers"",""Family Friendly"",""Sitcoms"",""Romantic Comedy""]","[""Interviews"",""TV & Movies"",""Health & Fitness"",""Mental Health"",""Fitness"",""Meditation""]",undefined,app_user
0028,10,21,Books,Female,45-54,621,5,TRUE,TRUE,"[""Horror"",""Fantasy"",""High Fantasy"",""Magic"",""Science Fiction"",""Dystopian Fiction"",""Outer Space"",""Time Travel"",""Classics"",""LGBTQ+"",""Dark Fantasy""]",undefined,"[""Music""]",undefined,app_user
0029,10,21,Books,Female,25-34,69,12,TRUE,TRUE,"[""Young Adult"",""Thriller"",""Psychological Thrillers"",""Horror"",""Slasher"",""Poetry"",""Shocking Twists"",""Teen Romance"",""Coming of Age"",""Paranormal"",""Spy Thrillers"",""Mystery"",""Fantasy"",""Epic Fantasy"",""Magic""]",undefined,undefined,2021-08-03T15:25:58,app_user
0030,10,21,TV/Movies,Female,35-44,3096,521,TRUE,FALSE,"[""Coming of Age"",""Thriller"",""Memoirs"",""Whodunit"",""Comedy"",""Classics""]","[""Comedy"",""Crime"",""Whodunit"",""Reality""]","[""Comedy"",""Pop Culture"",""History"",""Interviews"",""True Crime""]",2020-09-20T20:54:36,app_user
0031,10,21,Books,Female,35-44,3826,66,TRUE,FALSE,"[""Historical Fiction"",""World War 2"",""Classics"",""Romance"",""Young Adult"",""British Classics"",""Romantic Comedies"",""Teen Romance"",""Coming of Age"",""Tearjerkers"",""Children's Books"",""Memoirs"",""Books for Kids""]","[""Comedy"",""Romantic Comedy"",""Workplace Comedy"",""British Comedy"",""Romance"",""Family Friendly"",""Disney"",""Drama"",""Family Dramas"",""British Dramas"",""Period Dramas"",""Tearjerkers"",""Teen"",""High School"",""Fantasy"",""Epic Fantasy"",""Magic"",""Superheroes"",""Comic Book Adaptations"",""Teen Romance"",""Marvel"",""Sitcoms"",""Action & Adventure"",""Action"",""Adventure"",""Music"",""Science Fiction"",""Outer Space"",""Time Travel"",""Dystopian"",""Documentary"",""Docuseries"",""Survival"",""Post Apocalyptic"",""War"",""Whodunit"",""Western"",""Outlaw Western"",""Biopic"",""Political""]",undefined,undefined,app_user
0032,10,21,TV/Movies,Female,25-34,null,null,null,null,null,null,null,null,newsletter
0033,10,21,Books,Female,18-24,536,5,FALSE,FALSE,"[""Fantasy"",""Magic"",""Young Adult"",""Comedy"",""Romance"",""Dark Fantasy"",""True Crime"",""Horror"",""Slasher"",""Paranormal"",""Tearjerkers"",""Self Help"",""Mental Health"",""Cooking"",""Cookbooks""]","[""Comedy"",""Music"",""Anime"",""Family Friendly"",""Disney"",""Drama"",""Tearjerkers"",""Fantasy"",""Magic"",""Family Dramas""]",undefined,undefined,app_user
0034,10,21,Books,Female,35-44,3819,23,TRUE,FALSE,"[""Romance"",""Fantasy"",""Historical Fiction"",""Science Fiction"",""Whodunit"",""True Crime"",""Horror"",""Thriller"",""Memoirs""]",undefined,undefined,undefined,app_user
0035,10,21,Books,Female,25-34,64,1,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
0036,10,21,Books,Female,35-44,201,0,TRUE,TRUE,"[""Horror"",""Paranormal"",""Slasher"",""True Crime"",""Whodunit"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Mystery""]",undefined,undefined,undefined,app_user
0037,7,21,TV/Movies,Male,35-44,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,2022-09-07T16:26:37,app_user
0038,6,21,Books,Female,35-44,null,null,null,null,null,null,null,null,newsletter
0039,6,21,TV/Movies,Female,35-44,2807,587,TRUE,TRUE,"[""Horror"",""Science Fiction"",""Outer Space"",""Dystopian Fiction"",""Time Travel""]","[""Drama"",""Tearjerkers"",""Horror"",""Science Fiction"",""Dystopian"",""Anime"",""Alien"",""Sports"",""Boxing"",""Martial Arts"",""Reality"",""Documentary"",""War"",""Fantasy"",""Mind Bending""]",undefined,undefined,app_user
0040,8,21,Books,Female,25-34,152,54,TRUE,TRUE,"[""Tearjerkers"",""Romance"",""Young Adult"",""Poetry"",""Teen Romance"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Memoirs"",""Children's Books"",""Books for Kids"",""Romantic Comedies""]","[""Romance"",""Comedy"",""Romantic Comedy"",""Teen Romance"",""Teen"",""High School"",""Thriller"",""Shocking Twists"",""Suspense"",""Action & Adventure"",""Adventure"",""Music"",""Family Friendly"",""Sitcoms"",""Drama"",""Courtroom Dramas"",""Crime"",""Heists"",""Mystery"",""Spy Thrillers""]","[""Crime"",""True Crime"",""TV & Movies"",""Unsolved Crime"",""Music"",""History"",""Interviews"",""Family Friendly"",""News"",""Politics"",""Fiction"",""Relationship"",""Love"",""Dating"",""Health & Fitness"",""Health"",""Mental Health"",""Fitness"",""Self Help"",""Kids""]",undefined,app_user
0041,9,21,Books,Female,35-44,null,null,null,null,null,null,null,null,newsletter
0042,9,21,TV/Movies,Female,35-44,650,0,TRUE,FALSE,"[""Comedy"",""Horror"",""Romance"",""Young Adult"",""Historical Fiction"",""Classics""]","[""Comedy"",""Romance"",""Music"",""Thriller"",""Tearjerkers"",""Science Fiction"",""Fantasy"",""Superheroes"",""Teen"",""Documentary"",""War"",""Anime"",""Horror"",""Western"",""Whodunit"",""Crime""]",undefined,2020-11-08T17:57:08,app_user
0043,10,21,TV/Movies,Male,18-24,5361,145,TRUE,TRUE,"[""Fantasy"",""Poetry"",""Classics"",""British Classics"",""Historical Fiction"",""Coming of Age"",""Epic Fantasy"",""Dark Fantasy"",""Urban Fantasy"",""High Fantasy"",""Magic"",""Science Fiction"",""Dystopian Fiction"",""Outer Space"",""Time Travel"",""Young Adult"",""Thriller"",""Psychological Thrillers"",""Shocking Twists"",""Cooking"",""Cookbooks"",""Children's Books"",""Books for Kids"",""Sports"",""Memoirs"",""Comedy"",""Humor""]","[""Superheroes"",""Fantasy"",""Epic Fantasy"",""Mind Bending"",""Magic"",""Comedy"",""Romantic Comedy"",""Dark Comedy"",""British Comedy"",""Spoofs and Mockumentaries"",""Adult Cartoon"",""Comic Book Adaptations"",""Marvel"",""Thriller"",""Psychological Thrillers"",""Shocking Twists"",""Horror"",""Slasher"",""Supernatural"",""Science Fiction"",""Time Travel"",""Outer Space"",""Robots"",""Zombie"",""Dystopian"",""Anime"",""Alien"",""Survival"",""Post Apocalyptic"",""Action & Adventure"",""Action"",""Adventure"",""Courtroom Dramas"",""Workplace Comedy"",""Teen"",""Suspense""]","[""Fiction"",""History"",""TV & Movies"",""Comedy"",""Comedian"",""Pop Culture"",""Society & Culture"",""Parenting"",""Family Friendly"",""Science & Technology"",""Science"",""Technology"",""Interviews"",""Music"",""Relationship"",""Dating"",""Love""]",2021-05-08T01:44:30,app_user
0044,10,21,Books,Female,35-44,544,17,TRUE,TRUE,"[""Fantasy"",""Magic"",""Urban Fantasy"",""Dark Fantasy"",""Epic Fantasy"",""High Fantasy"",""Comedy"",""Humor"",""Thriller"",""Psychological Thrillers"",""Mystery"",""Science Fiction"",""Dystopian Fiction"",""Time Travel"",""Outer Space"",""Historical Fiction"",""Horror"",""Paranormal"",""True Crime"",""Romantic Comedies""]","[""Comedy"",""British Comedy"",""Adult Cartoon"",""Crime"",""True Crime"",""Fantasy"",""Epic Fantasy"",""Magic"",""Mind Bending"",""Superheroes"",""Comic Book Adaptations"",""Marvel"",""Thriller"",""Psychological Thrillers"",""Mystery"",""Horror"",""Supernatural"",""Family Friendly"",""Disney"",""Science Fiction"",""Outer Space"",""Time Travel"",""Robots"",""Zombie"",""Dystopian"",""Alien"",""Anime"",""Action & Adventure"",""Action"",""Adventure""]","[""Crime"",""True Crime"",""Pop Culture"",""Society & Culture"",""Science & Technology"",""History"",""Science"",""Comedy""]",undefined,app_user
0045,10,21,TV/Movies,Female,18-24,946,0,TRUE,TRUE,"[""Horror"",""Thriller""]","[""Horror"",""Romance""]",undefined,undefined,app_user
0046,3,21,TV/Movies,Male,55-64,1151,8,FALSE,FALSE,undefined,undefined,undefined,2018-10-08T12:24:06,app_user
0047,3,21,TV/Movies,Female,55-64,251,1,TRUE,TRUE,"[""Fantasy"",""Comedy"",""Science Fiction"",""Historical Fiction"",""Classics"",""British Classics"",""LGBTQ+"",""Cooking"",""Cookbooks"",""Holiday Cookbooks"",""Memoirs"",""Magic"",""Epic Fantasy"",""Dark Fantasy"",""High Fantasy""]","[""Comedy"",""Workplace Comedy"",""Stoner Comedy"",""British Comedy"",""Dark Comedy"",""Spoofs and Mockumentaries"",""Adult Cartoon"",""Romance"",""Fantasy"",""Epic Fantasy"",""Magic"",""Superheroes"",""Family Friendly"",""Science Fiction"",""Marvel"",""Disney"",""Documentary"",""LGBTQ+"",""Docuseries"",""Biopic"",""Reality"",""Food"",""Home Improvement"",""Competition"",""Reality Dating"",""Time Travel"",""Outer Space""]","[""Comedy"",""Crime"",""Relationship"",""Interviews"",""News"",""Science & Technology""]",undefined,app_user
0048,4,21,Books,Female,35-44,52,0,TRUE,TRUE,"[""Fantasy"",""Dark Fantasy"",""Epic Fantasy"",""Young Adult"",""Science Fiction"",""Dystopian Fiction"",""Historical Fiction"",""Horror"",""Paranormal"",""Classics"",""British Classics"",""True Crime""]","[""Horror"",""Thriller"",""Supernatural"",""Psychological Thrillers"",""Shocking Twists"",""Drama"",""British Dramas"",""Period Dramas"",""Comedy"",""Dark Comedy"",""Adult Cartoon"",""Crime"",""Dark Crime"",""True Crime"",""Science Fiction"",""Dystopian"",""Zombie"",""Outer Space"",""Alien"",""Reality"",""Reality Dating"",""Food"",""Documentary"",""Docuseries"",""Survival"",""Post Apocalyptic"",""Biopic"",""Whodunit"",""War"",""Political""]","[""Crime"",""True Crime"",""Unsolved Crime"",""History"",""Science & Technology"",""Fiction"",""Science""]",undefined,app_user
0049,4,21,TV/Movies,Prefer not to say,18-24,353,0,TRUE,TRUE,"[""Fantasy"",""Magic"",""Urban Fantasy"",""High Fantasy""]","[""Fantasy"",""Magic"",""Mind Bending"",""Anime"",""Action & Adventure"",""Adventure"",""Comedy"",""Romantic Comedy"",""Dark Comedy"",""Adult Cartoon"",""British Comedy"",""Family Friendly""]","[""Relationship"",""Celebrities"",""Comedy"",""Science & Technology""]",undefined,app_user
0050,5,21,TV/Movies,Female,55-64,758,2,FALSE,FALSE,undefined,undefined,undefined,2020-03-31T06:06:07,app_user
0051,5,21,TV/Movies,Female,25-34,47,0,TRUE,TRUE,"[""Comedy"",""Comedian"",""Historical Fiction"",""True Crime"",""Whodunit"",""Memoirs"",""Romance"",""Romantic Comedies""]","[""Comedy"",""Romantic Comedy"",""British Comedy"",""Dark Comedy"",""Crime"",""True Crime"",""Heists"",""Fantasy"",""Epic Fantasy"",""Superheroes"",""Marvel"",""Thriller"",""Mystery"",""Whodunit"",""Music""]","[""Crime"",""True Crime"",""History"",""Comedy""]",undefined,app_user
0052,5,21,TV/Movies,Female,18-24,41,0,TRUE,FALSE,"[""Young Adult"",""Poetry"",""Memoirs"",""Science Fiction"",""Dystopian Fiction""]","[""Comedy"",""Dark Comedy"",""Crime"",""True Crime"",""Dark Crime"",""Thriller"",""Suspense"",""Psychological Thrillers"",""Mystery"",""Horror"",""Documentary"",""Docuseries"",""Biopic""]","[""Crime"",""History"",""Celebrities"",""Interviews"",""True Crime"",""Unsolved Crime""]",undefined,app_user
0053,5,21,TV/Movies,Female,65+,347,10,TRUE,TRUE,"[""Romance"",""Romantic Comedies"",""Comedy"",""Humor"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Classics"",""British Classics"",""Tearjerkers"",""Whodunit""]","[""Comedy"",""Romantic Comedy"",""British Comedy"",""Dark Comedy"",""Spoofs and Mockumentaries"",""Romance"",""Drama"",""British Dramas"",""Period Dramas"",""Tearjerkers"",""Crime"",""Dark Crime"",""Thriller"",""Suspense"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Horror"",""Slasher"",""Action & Adventure"",""Action"",""Music"",""Whodunit""]",undefined,undefined,app_user
0054,7,21,TV/Movies,Male,35-44,540,0,FALSE,FALSE,undefined,undefined,undefined,2020-05-14T04:29:56,app_user
0055,7,21,TV/Movies,Male,55-64,113,0,TRUE,FALSE,"[""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Spy Thrillers"",""Classics"",""Horror""]","[""Drama"",""Courtroom Dramas"",""Crime"",""Dark Crime"",""Heists"",""Vigilante"",""Thriller"",""Suspense"",""Shocking Twists"",""Spy Thrillers"",""Horror"",""Action & Adventure"",""Documentary"",""War"",""Western"",""Outlaw Western"",""Biopic""]","[""TV & Movies"",""History"",""Music"",""Science & Technology""]",undefined,app_user
0056,7,21,TV/Movies,Male,65+,431,0,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
0057,7,21,Podcasts,Female,35-44,689,0,FALSE,FALSE,"[""Historical Fiction"",""Business"",""Whodunit"",""Thriller"",""Memoirs"",""Horror""]","[""Crime"",""Documentary"",""Whodunit"",""Drama"",""Political""]",undefined,undefined,app_user
0058,7,21,TV/Movies,Male,25-34,null,null,null,null,null,null,null,null,newsletter
0059,7,21,TV/Movies,Male,25-34,283,1,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
0060,8,21,TV/Movies,Male,65+,286,0,TRUE,TRUE,undefined,"[""Comedy"",""Thriller"",""Mystery"",""Psychological Thrillers"",""Suspense"",""Action & Adventure"",""Documentary"",""Survival"",""Western"",""Biopic""]",undefined,undefined,app_user
0061,8,21,TV/Movies,Other,18-24,402,0,FALSE,FALSE,undefined,"[""Romance"",""Teen"",""Action & Adventure"",""LGBTQ+"",""Romantic Comedy"",""Drama"",""Teen Romance"",""Thriller"",""Horror"",""Supernatural"",""Science Fiction"",""Outer Space"",""Time Travel"",""Dystopian"",""Adventure"",""Music""]",undefined,2021-03-02T18:01:48,app_user
0062,8,21,TV/Movies,Female,55-64,355,0,TRUE,TRUE,"[""Romance"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Historical Fiction"",""Tearjerkers"",""Whodunit"",""Memoirs""]","[""Romance"",""Romantic Comedy"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Whodunit"",""Drama"",""Family Dramas"",""Tearjerkers"",""Courtroom Dramas"",""Suspense""]","[""Comedy"",""Relationship"",""Interviews""]",2021-05-25T16:39:49,app_user
0063,8,21,TV/Movies,Male,45-54,185,2,FALSE,FALSE,undefined,undefined,undefined,2019-07-09T18:12:24,app_user
0064,8,21,TV/Movies,Male,35-44,undefined,1,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
0065,8,21,TV/Movies,Female,45-54,717,12,FALSE,FALSE,undefined,undefined,"[""Comedy"",""Crime"",""Celebrities"",""Unsolved Crime""]",2020-03-05T20:39:16,app_user
0066,8,21,TV/Movies,Female,35-44,null,null,null,null,null,null,null,null,newsletter
0067,8,21,Books,Female,25-34,45,0,TRUE,TRUE,"[""Fantasy"",""Dark Fantasy"",""Magic"",""Urban Fantasy"",""High Fantasy"",""Epic Fantasy"",""Romance"",""Young Adult"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Spy Thrillers"",""Mystery"",""Science Fiction"",""Dystopian Fiction"",""Time Travel"",""Outer Space"",""Historical Fiction"",""World War 2"",""Horror"",""Slasher"",""Paranormal"",""True Crime"",""Tearjerkers""]","[""Romance"",""Drama"",""Thriller"",""Fantasy"",""Crime"",""Survival"",""Horror""]","[""Crime"",""True Crime"",""Unsolved Crime"",""Fiction""]",undefined,app_user
