email,nps,survey_year,primary_category,gender,age,total_sessions,follower_count,w2_active,m2_active,genres_books,genres_screenpla,genres_podcasts,first_app_open_d,user_type
1133,10,24,TV/Movies,Male,25-34,331,0,TRUE,FALSE,"[""Fantasy"",""Magic"",""High Fantasy"",""Urban Fantasy"",""Dark Fantasy"",""Epic Fantasy"",""Young Adult"",""Coming of Age"",""Comedy"",""Comedian"",""Humor"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Spy Thrillers"",""Mystery"",""Science Fiction"",""Dystopian Fiction"",""Time Travel"",""Historical Fiction"",""Outer Space"",""World War 2"",""Classics"",""Horror"",""Tearjerkers"",""Paranormal"",""Slasher"",""True Crime"",""Self Help"",""Motivation"",""Mental Health"",""Psychology"",""Poetry"",""Whodunit"",""Cooking"",""Cookbooks"",""Holiday Cookbooks"",""Business"",""Entrepreneurship"",""Leadership"",""Memoirs"",""Sports""]","[""Comedy"",""Workplace Comedy"",""Stoner Comedy"",""Dark Comedy"",""Spoofs and Mockumentaries"",""Adult Cartoon"",""Drama"",""Family Dramas"",""British Dramas"",""Period Dramas"",""Courtroom Dramas"",""Tearjerkers"",""Crime"",""Dark Crime"",""True Crime"",""Heists"",""Vigilante"",""Teen"",""Fantasy"",""Epic Fantasy"",""Magic"",""Mind Bending"",""Superheroes"",""Comic Book Adaptations"",""Marvel"",""Thriller"",""Suspense"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Spy Thrillers"",""Horror"",""Supernatural"",""Slasher"",""Family Friendly"",""Sitcoms"",""Disney"",""Science Fiction"",""Outer Space"",""Time Travel"",""Robots"",""Zombie"",""Dystopian"",""Alien"",""Anime"",""Action & Adventure"",""Action"",""Adventure"",""Music"",""Reality"",""Reality Dating"",""Competition"",""Home Improvement"",""Food"",""Documentary"",""Docuseries"",""Survival"",""Post Apocalyptic"",""Sports"",""Football"",""Baseball"",""Basketball"",""Martial Arts"",""Golf"",""Boxing"",""War"",""Whodunit"",""Western"",""Outlaw Western"",""Political"",""Biopic""]","[""Comedy"",""Comedian"",""Crime"",""True Crime"",""Unsolved Crime"",""TV & Movies"",""Music"",""Pop Culture"",""Society & Culture"",""Celebrities"",""History"",""Fiction"",""Health & Fitness"",""Health"",""Fitness"",""Mental Health"",""Self Help"",""Meditation"",""Interviews"",""News"",""Politics"",""Business"",""Entrepreneurs"",""Sports"",""Football"",""Basketball"",""Science & Technology"",""Science"",""Technology""]",undefined,app_user
1134,8,24,Books,Female,25-34,undefined,0,TRUE,TRUE,"[""Fantasy"",""Horror"",""Romance"",""Romantic Comedies"",""Paranormal"",""Whodunit"",""Tearjerkers"",""Slasher"",""Science Fiction"",""Magic"",""High Fantasy"",""Dark Fantasy"",""Urban Fantasy"",""Epic Fantasy"",""Outer Space"",""Time Travel"",""Dystopian Fiction"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Memoirs""]","[""Comedy"",""Romantic Comedy"",""Workplace Comedy"",""Stoner Comedy"",""Dark Comedy"",""British Comedy"",""Spoofs and Mockumentaries"",""Adult Cartoon"",""Romance"",""Fantasy"",""Thriller"",""Suspense"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Horror"",""Supernatural"",""Slasher"",""Science Fiction"",""Family Friendly"",""Sitcoms"",""Outer Space"",""Time Travel"",""Robots"",""Zombie"",""Dystopian"",""Alien"",""Anime"",""Black Cinema"",""Action & Adventure""]","[""News"",""Comedy"",""Pop Culture""]",undefined,app_user
1135,7,24,TV/Movies,Male,55-64,undefined,undefined,FALSE,FALSE,undefined,"[""Comedy"",""Family Friendly"",""Action & Adventure"",""Music"",""Sports"",""War"",""Action"",""Football"",""Baseball"",""Basketball"",""Sitcoms""]",undefined,undefined,app_user
1136,8,24,"TV/Movies, Books, Podcasts",Prefer not to answer,25-34,null,null,null,null,null,null,null,null,newsletter
1137,7,24,TV/Movies,Female,55-64,151,3,TRUE,TRUE,"[""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Historical Fiction"",""Self Help""]","[""Drama"",""Crime"",""True Crime"",""Heists"",""Period Dramas"",""Action & Adventure"",""Action"",""Reality"",""Reality Dating"",""Documentary"",""Docuseries""]","[""Crime"",""Relationship"",""Celebrities"",""History""]",2022-01-18T18:05:29,app_user
1138,4,24,Books,Female,35-44,null,null,null,null,null,null,null,null,newsletter
1139,7,24,Books,Non-binary,35-44,439,1,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
1140,9,24,TV/Movies,Female,45-54,null,null,null,null,null,null,null,null,newsletter
1141,10,24,"TV/Movies, Books, Podcasts",Female,45-54,undefined,undefined,FALSE,FALSE,undefined,"[""Comedy"",""Romance"",""Teen"",""Superheroes"",""Fantasy"",""Family Friendly"",""Action & Adventure"",""Reality"",""Whodunit"",""Romantic Comedy"",""Teen Romance"",""Comic Book Adaptations"",""Marvel"",""Disney"",""Sitcoms"",""Action"",""Adventure"",""Reality Dating"",""Home Improvement"",""Food""]",undefined,undefined,app_user
1142,8,24,Books,Female,25-34,10,0,FALSE,FALSE,undefined,undefined,undefined,2020-06-29T16:01:40,app_user
